emp_uid;ot;rdot;shot;shrdot;rhot;rhrdot;rd;sh;shrd;rh;rhrd;nd;;;
238;;;;;;;;;;;;;;;
265;16;;;;;;;;;;;;;;
314;26;;;;;;;;;;;;;;
318;35;;;;;;;3;;3;;;;;
320;;;;;;;;;;;;;;;
349;21;;;;;;;;;;;;;;
351;25;;;;;;;;;6;;;;;
354;;;;;;;;;;;;;;;
356;20;;;;;;;;;;;;;;
357;38;;;;;;;5.5;;3;;;;;
360;;;;;;;;;;;;;;;
371;24;;;;;;;;;;;;;;
364;28;;;;;;;;;;;;;;
377;14;;;;;;;;;;;;;;
379;21;;;;;;;;;;;;;;
381;14;;;;;;;;;;;;;;
384;;;;;;;;;;;;;;;
383;16;;;;;;;;;;;;;;
382;15;;;;;;;5;;;;;;;
277;17;;;;;;;;;;;;;;
279;24;;;;;;;;;;;;;;
266;27;;;;;;;;;;;;;;
348;21;;;;;;;;;;;;;;
355;;;;;;;;;;;;;;;
342;;;;;;;;;;;;;;;
141;;;;;;;;;;;;;;;
142;;;;;;;;;;;;;;;
365;;;;;;;;;;;;;;;
358;;;;;;;;;;;;;;;
368;;;;;;;;;;;;;;;
373;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;
